0:325;525;525;425;525;525;425;425;425;325;425;325;525;425;425;525;425;425;425;425;225;425;425;525;425;425.001;425;425;425;525;425;425;525;425;425;425;425;625.009;425.007;425.009;425.052;425.079;525.269;425.198;525.241;525.12;425.025;525.006;425.029;625.078;525.072;525.051;425.055;525.014;625.018;325.053;425.043;325.029;325.043;425.022;425.042;525.021;325.009;425;525.049;625;525.015;625.06;525.047;425.052;625.084;425.011;425.041;525.056;525.013;425;425.046;425;425.009;425.001;425;325.015;525.004;425.014;525.002;625;525;325;325;425.078;525;425.007;525.376;525.222;525.145;625.206;425.183;525.047;425.224;425.288;525.347;625.413;625.12;525.095;325.091;425.092;525.122;525.125;625.248;525.236;525.406;525.326;525.423;525.314;725.361;625.102;425.165;525.158;525.131;525.262;425.102;425.285;425.174;525.197;525.087;525.143;525.341;525.048;525.138;425.085;525.134;425.14;625.109;425.225;525.037;525.096;625.123;425.107;425.201;425.062;725.156;525.055;425.038;425.125;425.047;525.101;425.047;325.066;425.092;525.067;525.101;525.032;525.059;525.086;525;525.008;525.012;525.043;525;525.085;525.015;625.015;425.007;425.016;425.011;425;425.253;525.1;425.006;525.07;425.04;525.057;425.039;425.093;625.024;525.001;325.071;525;525.083;525.058;425.057;425.413;525.171;325.549;325.53;525.213;525.365;525.208;425.593;425.162;625.626;525.211;525.269;425.499;425.584;425.199;425.695;425.362;525.642;525.09;
1:525.438;416.015;408.016;325.309;325.512;425.501;320.131;425.143;525;325.353;407.24;525.702;318.646;318.217;321.081;425.417;325.569;426.02;225.236;417.444;415.854;419.731;525.556;325.61;326.602;225.749;425.606;425.81;325.727;425.656;325.46;225.547;225.672;326.134;411.648;215.204;326.048;225.55;225.812;225.931;325.851;325.572;225.599;626.428;225.608;325.685;526.164;325.531;426.21;425.343;425.618;325.222;425.715;412.755;225.595;325.252;325.548;325.743;225.746;425.862;325.983;410.167;524.694;508.383;425.798;325.984;425.658;225.794;325.386;225.507;426.131;325.741;225.756;326.317;326.232;225.978;314.719;325.834;226.202;326.77;427.264;326.418;226.419;316.304;527.794;310.596;326.609;327.051;427.281;326.981;226.525;325.891;309.273;225.86;326.655;326.803;327.102;226.143;427.1;327.166;427.398;426.689;529.901;327.432;125.702;326.884;326.504;327.193;226.704;227.043;226.634;327.297;226.782;227;327.198;226.971;226.673;327.842;417.393;327.825;226.841;327.636;427.867;428.29;327.372;226.078;327.815;226.724;427.906;427.765;529.628;327.578;327.831;327.084;327.803;428.194;428.392;327.348;327.259;327.66;329.713;327.189;413.919;327.534;226.513;327.083;327.026;528.474;327.799;326.724;327.972;226.94;529.185;328.376;327.328;428.289;331.008;227.107;328.285;428.655;427.852;428.385;528.718;529.314;629.942;428.379;427.962;429.118;428.339;428.992;428.859;529.594;528.442;529.048;428.828;631.077;530.097;630.652;328.691;428.371;529.295;630.892;428.993;428.671;327.761;428.902;428.527;631.429;631.84;429.852;430.208;429.959;531.651;431.816;529.55;328.408;329.175;428.522;532.206;329.407;
2:225;225;325;122.64;19.9598;311.223;119.192;115.143;117.502;113.719;214.088;112.61;116.767;119.166;120.53;213.67;213.977;119.712;216.238;118.563;118.603;114.104;219.217;311.914;314.622;315.685;216.939;114.978;306.398;217.183;414.164;116.716;218.656;120.141;112.565;215.731;119.022;215.778;117.398;215.263;220.376;317.569;214.136;118.928;215.418;215.398;211.899;216.132;318.698;216.522;214.1;220.266;116.85;212.093;120.585;214.153;119.421;118.897;116.385;118.41;214.047;320.77;117.439;116.533;214.68;214.695;320.894;116.931;315.426;118.329;219.622;219.893;124.946;225;225.003;225.035;224.417;224.871;225.01;225.001;325.005;425.002;525;425.007;425.01;325.014;225.053;325.034;425;425.041;324.999;525.073;324.16;425.273;425.267;425.426;523.491;625;625.118;525.163;525.249;425.201;325.357;425.31;525.021;425.243;725.097;525.24;425.177;425.358;426.088;525.274;525.535;525.42;525.345;425.352;524.486;425.172;326.107;525.07;525.149;425.249;525.287;525.095;425.483;525.288;425.813;426.389;426.788;627.125;428.257;627.809;528.978;628.028;528.471;535.518;540.473;541.813;636.58;628.313;550.493;329.325;329.116;430.702;634.051;629;546.243;537.079;557.048;547.483;550.556;530.729;646.827;328.019;443.785;624.405;534.509;545.101;436.673;637.951;537.472;337.064;534.804;537.201;528.717;436.309;530.069;530.915;733.674;533.577;634.327;431.892;531.864;635.091;538.64;438.588;533.1;436.869;431.013;431.291;428.479;830.645;428.602;431.896;437.654;430.212;731.462;538.12;531.824;426.538;531.739;531.975;531.698;724.741;531.794;432.809;531.23;731.333;534.155;534.102;
3:324.853;425;325;425;325;325;525;425;525;425;425;425;324.324;325;225;325;325;525;325;325;425;425;425;525;425;425;425;525;425;225;325;325;425;425;525;425;425;325;525;425;325;325;225;425;525;325;425;425;425;425;325;325;425;325;425;625;425;725;625;425;525;325;325;525;425;425;525;425;325;325;525;425;625;425;525;325;325;425;425;325;225;425;225;325;325;325;425;525;312.639;325;414.682;325;525;325;312.01;425;425;325;325;425;425;524.394;425;325;225;325;325;325;325;225;425;325;225;325;325;525;225;425;525;325;325;225;325;325;325;325;325;425;425;425;425;425;425;425;425;325;425;325;325;325;425;425;325;525;425;325;525;425;425;425;425;425;625;225;325;325;425;325;325;325;325;425;325;525;325.009;325.011;525.027;525.076;525;424.076;425;425;525.005;425.017;525.022;425.116;325.005;425.018;425.04;525.055;325.037;225.042;425.088;425.191;425.116;425.062;425.01;425;325.016;625.041;425.016;425.008;425.045;425.066;325.042;325.009;325.121;425.173;425.237;425.26;
4:425;425;234.398;325;432.448;225;425;330.087;332.773;430.806;425.001;325;425.006;332.44;334.126;325.023;325.025;425;333.29;425;233.072;325;330.67;332.521;325.004;429.922;332.711;329.791;325.035;229.586;332.82;425;327.841;325.007;325.005;328.389;325.284;526.868;425;332.899;325.008;333.31;331.034;325.013;425;525.009;525.008;425;425.148;525.003;425.121;325;525;425;425;325;325;325.207;325.015;525.001;325.416;325.008;225;425.109;425.003;326.161;325.086;425;425;325.033;329.407;425.131;427.713;425.468;325.026;325.049;325.138;426.423;525.036;227.06;325.065;225.296;325.203;225.122;425.109;226.395;325.261;426.31;225.408;426.424;235.142;326.037;226.392;327.327;326.86;426.305;328.623;325.912;528.367;325.108;326.113;425.108;325.303;425.335;325.377;325.348;325;225.237;309.742;227.582;325.141;225.204;425.265;327.578;325.131;325.169;325.085;425.005;425.047;625.191;325.482;725;529.564;530.311;425.196;430.811;325.081;525.43;436.117;329.068;426.208;429.401;423.255;429.446;325.989;325;525.028;525.121;426.422;226.942;625.792;326.25;325;425;325;425.007;325.076;325.429;425.527;525.483;225.005;425.269;632.583;225.408;528.176;338.412;525.879;429.177;425.632;225.439;325.394;325.401;425.054;525.751;427.116;428.222;630.514;729.506;726.962;726.002;429.188;526.194;535.103;625.821;426.973;529.223;326.634;525.549;526.278;628.582;632.404;625.508;528.424;728.802;525;425.155;525.825;525.71;625.002;427.588;726.431;427.76;625.105;525.481;527.207;528.874;527.646;526.539;425.613;526.988;
5:225.545;427.089;528.994;427.587;229.711;528.449;429.865;630.047;535.199;525.488;628.631;634.378;629.125;525.085;429.606;334.1;431.392;625.1;433.337;631.577;536.123;634.949;531.889;426.039;533.218;536.948;640.323;644.565;640.541;529.236;540.018;642.083;735.031;641.303;439.231;535.081;644.464;638.934;445.946;636.48;836.51;543.723;552.828;538.235;525.814;436.1;461.095;456.232;551.15;554.825;543.501;558.376;545.006;657.469;657.976;846.168;550.133;555.914;666.655;543.692;546.548;956.614;555.166;753.674;648.866;463.718;552.783;442.721;456.217;531.515;643.174;651.997;741.281;748.145;661.024;749.823;646.025;557.338;554.173;661.075;566.148;471.768;462.287;744.752;654.076;544.344;746.959;444.409;758.664;558.803;651.243;663.416;633.158;549.727;546.759;533.594;457.531;555.24;647.38;540.254;537.989;752.267;761.941;437.898;755.142;549.299;540.565;452.256;645.37;551.573;545.231;447.093;541.235;545.032;647.406;638.028;844.345;736.154;540.057;542.656;533.301;536.426;547.065;738.116;636.634;548.476;649.337;751.318;744.468;443.206;637.387;654.268;752.741;543.899;552.134;734.698;532.653;749.268;747.818;543.923;645.148;752.36;748.902;549.819;653.114;649.487;534.189;546.409;443.044;541.345;439.749;541.841;541.326;657.543;558.77;743.885;747.553;760.128;660.807;562.201;660.799;550.178;759.564;759.824;750.09;574.285;562.866;559.291;942.23;659.801;779.304;682.246;867.797;572.017;749.136;674.629;643.872;679.325;764.166;583.109;659.553;759.767;773.188;663.998;776.683;661.766;553.179;760.341;755.848;644.059;787.736;688.826;961.301;657.914;654.2;758.477;665.375;655.086;663.345;784.606;
6:226.092;526.957;627.556;527.186;427.348;426.655;426.903;527.756;427.057;427.467;527.739;528.324;628.869;528.493;628.054;628.51;628.57;628.807;528.247;628.995;628.637;628.834;428.136;528.701;528.097;427.774;428.351;428.194;529.495;529.842;528.195;529.998;428.319;527.814;528.11;426.829;429.064;630.281;629.427;528.941;327.297;427.678;527.897;529.551;629.367;628.593;528.858;528.851;529.116;327.729;427.673;528.549;427.993;427.794;528.076;427.981;527.643;426.793;427.411;427.003;628.323;427.253;427.67;427.653;528.156;527.94;427.784;427.677;427.756;427.496;427.859;427.665;427.567;427.605;528.096;527.801;528.309;628.631;427.267;326.813;527.527;629.356;528.321;528.457;729.659;428.003;428.474;327.066;529.766;629.29;428.748;528.253;528.117;428.269;428.111;427.921;428.723;528.369;427.682;629.012;628.809;327.756;628.873;427.787;427.613;427.538;628.833;327.714;427.744;527.012;426.774;427.599;527.905;527.671;427.495;528.25;427.386;427.222;528.065;528.553;628.212;628.004;527.396;327.091;527.809;627.9;427.381;326.687;428.089;326.401;326.79;327.257;528.723;428.624;428.303;427.896;428.177;428.33;328.06;328.924;327.731;227.642;427.762;428.039;327.824;328.065;429.132;327.283;428.501;428.521;327.494;428.059;528.701;428.487;428.227;328.146;428.621;327.563;528.51;429.704;529.577;328.075;327.715;328.066;428.925;527.613;529.293;430.752;428.741;731.034;529.752;831.892;629.711;530.116;629.914;629.997;428.875;429.295;429.308;529.439;528.97;328.157;629.599;529.036;427.927;629.255;428.238;429.035;630.357;428.5;528.862;628.365;527.893;528.819;628.557;729.362;629.267;428.119;628.064;528.235;
7:225.091;325.151;225.004;325.141;426.308;325.038;325.027;425.038;225.423;425.197;425.242;325.145;329.105;225.214;225.232;331.828;325.025;225.116;425.194;425.796;329.329;429.708;333.775;330.041;332.701;336.038;325.285;325.16;431.013;430.993;231.335;233.563;425.235;334.934;332.593;335.082;325.229;425.077;425.463;226.074;326.098;425.679;326.684;326.14;425.492;425.944;526.671;326.52;325.309;327.201;526.792;427.639;427.211;326.964;327.893;426.326;325.555;530.852;327.893;428.392;329.152;329.269;426.997;331.438;329.891;337.921;431.288;329.686;229.246;331.155;329.169;533.135;531.634;246.175;331.35;528.187;532.322;429.912;234.889;428.76;333.496;328.811;634.761;331.077;343.029;534.52;427.326;332.051;431.526;336.045;431.932;529.693;329.902;633.723;430.077;334.017;427.842;330.428;427.606;529.515;328.763;631.378;329.545;529.833;429.484;329.453;427.625;240.035;236.115;337.025;341.051;326.727;442.202;343.007;243.179;342.411;243.07;535.925;427.909;527.646;445.877;446.001;347.038;349.743;346.34;430.226;447.792;533.374;454.465;651.721;652.846;358.05;456.828;464.469;658.216;662.506;647.396;560.544;361.483;654.387;460.641;453.819;461.96;556.593;459.745;558.98;456.203;555.692;458.515;459.822;460.124;551.697;457.419;653.635;361.395;563.051;427.151;662.867;463.373;562.172;433.53;459.343;477.047;776.63;662.868;578.144;583.802;680.158;555.19;580.329;777.089;480.18;557.611;469.163;572.623;554.381;778.547;577.972;655.758;561.969;566.104;576.405;563.445;565.512;572.065;472.971;669.589;571.692;667.435;534.611;663.778;428.15;664.959;564.168;657.907;367.589;658.867;462.718;456.162;463.168;
8:225;125.137;125;125.121;125.019;125;25;125;125.21;125.234;125.232;125.09;125.062;125.275;125.209;125.104;25.3297;125.14;125.592;125.322;126.1;125.811;125.768;126.275;126.001;126.026;129.357;130.926;226.729;127.35;126.53;125.98;130.307;128.524;128.89;227.627;126.687;250.642;438.787;428.349;532.982;742.016;426.184;547.478;656.134;656.627;539.006;544.686;544.712;548.559;452.113;448.413;550.229;547.081;652.464;652.608;640.277;631.287;650.924;446.097;544.635;534.347;643.681;555.837;549.772;545.712;743.557;554.993;545.03;654.011;743.611;637.58;628.404;633.572;538.057;556.334;642.508;556.349;835.804;745.233;629.944;564.164;662.499;753.823;479.766;677.915;580.272;673.914;678.478;571.113;472.149;561.409;562.549;549.809;572.639;577.475;652.917;549.776;653.544;551.452;645.46;563.012;848.451;561.235;564.133;755.54;675.657;664.972;664.421;773.975;757.374;759.519;760.813;667.784;664.281;672.62;770.055;674.672;758.641;581.405;573.934;682.587;686.984;590.317;565.677;681.715;691.386;650.834;762.896;747.773;667.966;739.314;559.071;657.185;760.868;549.423;771.119;755.337;769.716;844.987;659.207;653.012;557.135;571.787;574.181;754.845;542.975;567.138;649.169;533.763;653.664;557.467;559.08;660.933;660.972;764.829;555.485;461.648;562.034;774.641;765.16;788.619;702.064;605.443;688.314;796.41;701.34;590.012;666.255;715.512;805.564;802.435;702.744;680.494;622.105;692.5;775.303;798.529;764.785;658.005;693.199;605.022;678.399;902.584;711.631;818.316;756.687;757.593;905.369;711.203;775.883;879.366;687.613;756.572;606.647;712.44;962.348;544.577;779.436;740.203;
9:225.567;426.666;426.187;325.999;325.633;626.778;310.595;226.16;424.145;322.13;326.289;426.916;527.785;426.922;527.552;326.1;323.854;424.487;527.803;226.627;226.217;428.349;323.544;423.474;317.568;427.111;426.934;314.774;527.966;728.408;326.115;425.837;416.319;225.818;327.012;316.918;325.891;426.243;326.271;425.918;326.716;228.127;326.163;326.915;326.129;326.841;325.783;327.948;425.823;325.94;419.398;325.981;325.992;326.594;326.223;526.948;426.197;330.327;426.428;425.797;326.098;225.76;326.664;554.143;445.853;559.86;359.27;453.459;456.126;457.091;362.298;661.132;450.206;560.084;360.816;527.139;649.081;560.312;462.392;362.097;560.746;460.33;648.73;453.15;425.807;439.02;440.7;455.555;552.519;559.588;465.956;754.316;464.127;560.596;727.315;660.704;651.365;468.697;750.68;554.956;555.048;558.428;464.832;665.182;572.834;572.839;574.529;577.579;665.804;668.615;560.364;665.102;527.086;753.729;675.862;573.862;972.796;675.943;570.137;660.348;757.668;561.64;662.982;468.191;563.677;633.529;641.683;662.265;468.164;465.141;667.12;563.241;565.484;561.443;764.2;473.792;476.372;662.952;628.813;660.05;574.485;550.662;485.938;568.661;641.881;564.929;576.54;552.146;585.729;579.305;559.083;499.355;652.592;478.904;660.845;482.834;580.169;571.848;529.598;491.78;469.068;771.702;679.589;469.196;574.282;576.815;480.678;573.482;591.147;529.122;643.432;530.217;590.853;664.165;559.178;679.579;677.663;570.126;487.863;759.712;692.457;586.982;692.969;580.857;786.684;631.603;630.169;560.256;533.109;548.559;640.072;474.001;579.995;653.125;481.747;592.339;752.724;692.397;630.578;570.85;
